"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"country_belgium";"Kingdom of Belgium <color=#cbcbcb>/</color> Koninkrijk België";"Belgique";"Belgio";"Belgien";"Bélgica";"Бельгия";"Belgia";"Belgie";"Belçika";"比\t利\t时";"ベルギー";"Bélgica";"Бельгія";"Belgija";"Belgium";"벨기에";"Бельгія";"Belgia";"比\t利\t時";"比\t利\t时";"Bỉ";;
"country_bulgaria";"Republic of Bulgaria <color=#cbcbcb>/</color> Republika Bŭlgariya";"Bulgarie";"Bulgaria";"Bulgarien";"Bulgaria";"Болгария";"Bułgaria";"Bulharsko";"Bulgaristan";"保\t加\t利\t亚";"ブルガリア";"Bulgária";"Болгарія";"Bugarska";"Bulgária";"불가리아";"Балгарыя";"Bulgaria";"保\t加\t利\t亞";"保";"Bulgaria";;
"country_brazil";"Federative Republic of Brazil <color=#cbcbcb>/</color> República Federativa do Brasil";"Brésil";"Brasile";"Brasilien";"Brasil";"Бразилия";"Brazylia";"Brazílie";"Brezilya";"巴\t西";"ブラジル";"Brasil";"Бразилія";"Brazil";"Brazil";"브라질";"Бразилия";"Brazil";"巴\t西";"Brazil";"Brazil";;
"country_canada";"Canada";"Canada";"Canada";"Kanada";"Canadá";"Канада";"Kanada";"Kanada";"Kanada";"加\t拿\t大";"カナダ";"Canadá";"Канада";"Kanada";"Kanada";"캐나다";"Канада";"Canada";"加\t拿\t大";"加\t拿\t大";"Canada";;
"country_finland";"Republic of Finland <color=#cbcbcb>/</color> Suomen tasavalta";"Finlande";"Finlandia";"Finnland";"Finlandia";"Финляндия";"Finlandia";"Finsko";"Finlandiya";"芬\t兰";"フィンランド";"Finlândia";"Фінляндія";"Finska";"Finnország";"핀란드";"Фінляндыя";"Finlanda";"芬\t蘭";"芬\t兰";"Phần Lan";;
"country_france";"French Republic <color=#cbcbcb>/</color> République française";"France";"Francia";"Frankreich";"Francia";"Франция";"Francja";"Francie";"Fransa";"法\t国";"フランス";"França";"Франція";"Francuska";"Franciaország";"프랑스";"Францыя";"Franța";"法\t國";"F\t系";"Pháp";;
"country_france/short";"France";"FR";"FR";"FR";"FR";"FR";"FR";"FR";"FR";"法";"フランス";"FR";"FR";"FR";"FR";"프";"FR";"FR";"法";"F\t系";"FR";;
"country_greece";"Hellenic Republic <color=#cbcbcb>/</color> Ellinikí Dimokratía";"Grèce";"Grecia";"Griechenland";"Grecia";"Греция";"Grecja";"Řecko";"Yunanistan";"希\t腊";"ギリシャ";"Grécia";"Греція";"Grčka";"Görögország";"그리스";"Грэцыя";"Grecia";"希\t臘";"希";"Hy Lạp";;
"country_greece_modern";"Hellenic Republic <color=#cbcbcb>/</color> Ellinikí Dimokratía";"Grèce";"Grecia";"Griechenland";"Grecia";"Греция";"Grecja";"Řecko";"Yunanistan";"希\t腊";"ギリシャ";"Grécia";"Греція";"Greece";"Görögország";"그리스";"Грэцыя";"Greece";"希\t臘";"Greece";"Hy Lạp";;
"country_hungary";"Kingdom of Hungary <color=#cbcbcb>/</color> Magyar Királyság";"Hongrie";"Ungheria";"Ungarn";"Hungría";"Венгрия";"Węgry";"Maďarsko";"Macaristan";"匈\t牙\t利";"ハンガリー";"Hungria";"Угорщина";"Mađarska";"Magyarország";"헝가리";"Вугоршчына";"Ungaria";"匈\t牙\t利";"匈\t牙\t利";"Hungary";;
"country_hungary_modern";"Hungary <color=#cbcbcb>/</color> Magyarország";"Hongrie";"Ungheria";"Ungarn";"Hungría";"Венгрия";"Węgry";"Maďarsko";"Macaristan";"匈\t牙\t利";"ハンガリー";"Hungria";"Угорщина";"Hungary";"Magyarország";"헝가리";"Вугоршчына";"Hungary";"匈\t牙\t利";"Hungary";"Hungary";;
"country_iraq";"Republic of Iraq <color=#cbcbcb>/</color> Jumhūriyyat al-ʿIrāq";"Irak";"Iraq";"Irak";"Irak";"Ирак";"Irak";"Irák";"Irak";"伊\t拉\t克";"イラク";"Iraque";"Ірак";"Irak";"Irak";"이라크";"Ірак";"Irak";"伊\t拉\t克";"伊\t拉\t克";"Iraq";;
"country_netherlands";"Netherlands <color=#cbcbcb>/</color> Nederland";"Pays-Bas";"Paesi Bassi";"Niederlande";"Países Bajos";"Нидерланды";"Holandia";"Nizozemsko";"Hollanda";"荷\t兰";"オランダ";"Holanda";"Нідерланди";"Holandija";"Hollandia";"네덜란드";"Нідэрланды";"Olanda";"荷\t蘭";"荷\t兰";"Hà Lan";;
"country_new_zealand";"New Zealand <color=#cbcbcb>/</color> Aotearoa";"Nouvelle Zélande";"Nuova Zelanda";"Neuseeland";"Nueva Zelanda";"Новая Зеландия";"Nowa Zelandia";"Nový Zéland";"Yeni Zelanda";"新\t西\t兰";"ニュージーランド";"Nova Zelândia";"Нова Зеландія";"Novi Zeland";"Új-Zéland";"뉴질랜드";"Новая Зеландыя";"Noua Zeelandă";"紐\t西\t蘭";"新\t西\t兰";"New Zealand";;
"country_norway";"Norway <color=#cbcbcb>/</color> Kongeriket Norge";"Norvège";"Norvegia";"Norwegen";"Noruega";"Норвегия";"Norwegia";"Norsko";"Norveç";"挪\t威";"ノルウェー";"Noruega";"Норвегія";"Norveška";"Norvégia";"노르웨이";"Нарвегія";"Norvegia";"挪\t威";"挪\t威";"Na Uy";;
"country_poland";"Poland <color=#cbcbcb>/</color> Rzeczpospolita Polska";"Pologne";"Polonia";"Polen";"Polonia";"Польша";"Polska";"Polsko";"Polonya";"波\t兰";"ポーランド";"Polónia";"Польща";"Poljska";"Lengyelország";"폴란드";"Польшча";"Polonia";"波\t蘭";"波";"Ba Lan";;
"country_romania";"Romania <color=#cbcbcb>/</color> România";"Roumanie";"Romania";"Rumänien";"Rumania";"Румыния";"Rumunia";"Rumunsko";"Romanya";"罗\t马\t尼\t亚";"ルーマニア";"Roménia";"Румунія";"Rumunija";"Románia";"루마니아";"Румынія";"România";"羅\t馬\t尼\t亞";"罗\t马\t尼\t亚";"Romania";;
"country_south_africa";"Republic of South Africa <color=#cbcbcb>/</color> iRiphabhuliki yaseNingizimu Afrika";"Afrique du Sud";"Sud Africa";"Südafrika";"Sudáfrica";"Южная Африка";"Południowa Afryka";"Jižní Afrika";"Güney Afrika";"南\t非";"南\tアフリカ";"África do Sul";"ПАР";"Južna Afrika";"Dél-Afrika";"남아프리카 공화국";"Паўднёвая Афрыка";"Africa de Sud";"南\t非";"南\t非";"Nam Phi";;
"country_thailand";"Kingdom of Thailand <color=#cbcbcb>/</color> Ratcha-anachak Thai";"Thaïlande";"Tailandia";"Thailand";"Tailandia";"Тайланд";"Tajlandia";"Thajsko";"Tayland";"泰\t国";"タイ";"Tailândia";"Таїланд";"Tajland";"Thaiföld";"태국";"Тайланд";"Tailanda";"泰\t國";"泰\t国";"Thái Lan";;
"country_yugoslavia";"Yugoslavia <color=#cbcbcb>/</color> Jugoslavija";"Yougoslavie";"Jugoslavia";"Jugoslawien";"Yugoslavia";"Югославия";"Jugosławia";"Jugoslávie";"Yugoslavya";"南\t斯\t拉\t夫";"ユーゴスラビア";"Jugoslávia";"Югославія";"Jugoslavija";"Jugoszlávia";"유고슬라비아";"Югаславія";"Iugoslavia";"南\t斯\t拉\t夫";"南\t斯\t拉\t夫";"Nam Tư";;
"country_korea";"Democratic People's Republic of Korea <color=#cbcbcb>/</color> Chosŏn Minjujuŭi Inmin Konghwaguk";"Corée du nord";"Corea del Nord";"Nordkorea";"Norte de Corea";"КНДР";"Korea Północna";"Severní Korea";"Kuzey Kore";"朝\t鲜";"北朝鮮";"Coreia do Norte";"КНДР";"Severna Koreja";"Észak-Korea";"북한";"КНДР";"Coreea de Nord";"北\t韓";"北\tCX";"Triều Tiên";;
"country_japan_modern";"Japan <color=#cbcbcb>/</color> Nihon-koku";"Japon";"Giappone";"Japan";"Japón";"Япония";"Japonia";"Japonsko";"Japonya";"日\t本";"日本";"Japão";"Японія";"Japan";"Japán";"일본";"Японія";"Japan";"日\t本";"R 系";"Nhật Bản";;
"country_portugal";"Portuguese Republic <color=#cbcbcb>/</color> República Portuguesa";"Portugal";"Portogallo";"Portugal";"Portugal";"Португалия";"Portugalia";"Portugalsko";"Portekiz";"葡\t萄\t牙";"ポルトガル";"Portugal";"Португалія";"Portugal";"Portugália";"포르투갈";"Партугалія";"Portugal";"葡\t萄\t牙";"Portugal";"Bồ Đào Nha";;
"country_syria";"Syrian Arab Republic <color=#cbcbcb>/</color> al-Jumhūriyya al-'Arabiyya al-Sūriya";"Syrie";"Siria";"Syrien";"Siria";"Сирия";"Syria";"Sýrie";"Suriye";"叙\t利\t亚";"シリア";"Síria";"Сирія";"Syria";"Szíria";"시리아";"Сірыя";"Syria";"敘\t利\t亞";"Syria";"Syria";;
"country_canada_modern";"Canada";"Canada";"Canada";"Kanada";"Canadá";"Канада";"Kanada";"Kanada";"Kanada";"加\t拿\t大";"カナダ";"Canadá";"Канада";"Canada";"Kanada";"캐나다";"Канада";"Canada";"加\t拿\t大";"Canada";"Canada";;
"country_argentina";"Argentine Republic <color=#cbcbcb>/</color> República Argentina";"Argentine";"Argentina";"Argentinien";"Argentina";"Аргентина";"Argentyna";"Argentina";"Arjantin";"阿\t根\t廷";"アルゼンチン";"Argentina";"Аргентина";"Argentina";"Argentína";"아르헨티나";"Аргентына";"Argentina";"阿\t根\t廷";"Argentina";"Argentina";;
"country_south_africa_modern";"Republic of South Africa <color=#cbcbcb>/</color> iRiphabhuliki yaseNingizimu Afrika";"Afrique du Sud";"Sud Africa";"Südafrika";"Sudáfrica";"ЮАР";"Republika Południowej Afryki";"Jižní Afrika";"Güney Afrika";"南\t非";"南\tアフリカ";"África do Sul";"Південна Африка";"South Africa";"Dél-Afrika";"남아프리카 공화국";"Паўднёвая Афрыка";"South Africa";"南\t非";"South Africa";"Nam Phi";;
"country_vietnam";"Socialist Republic of Vietnam <color=#cbcbcb>/</color> Cộng hòa Xã hội chủ nghĩa Việt Nam";"Viêtnam";"Vietnam";"Vietnam";"Vietnam";"Вьетнам";"Wietnam";"Vietnam";"Vietnam";"越\t南";"ベトナム";"Vietname";"В'єтнам";"Vietnam";"Vietnám";"베트남";"В'етнам";"Vietnam";"越\t南";"Vietnam";"Việt Nam";;
"country_turkey";"Republic of Türkiye <color=#cbcbcb>/</color> Türkiye Cumhuriyeti";"Turquie";"Turchia";"Türkei";"Turquía";"Турция";"Turcja";"Turecko";"Türkiye";"土\t耳\t其";"トルコ";"Turquia";"Туреччина";"Turkey";"Törökország";"튀르키예";"Турэччына";"Turkey";"土\t耳\t其";"Turkey";"Thổ Nhĩ Kỳ";;
"country_cuba";"Republic of Cuba <color=#cbcbcb>/</color> República de Cuba";"Cuba";"Cuba";"Kuba";"Cuba";"Куба";"Kuba";"Kuba";"Küba";"古\t巴";"キューバ";"Cuba";"Куба";"Cuba";"Kuba";"쿠바";"Куба";"Cuba";"古\t巴";"Cuba";"Cuba";;
"country_philippines";"Republic of the Philippines <color=#cbcbcb>/</color> Republika ng Pilipinas";"Philippines";"Filippine";"Philippinen";"Filipinas";"Филиппины";"Filipiny";"Filipíny";"Filipinler";"菲\t律\t宾";"フィリピン";"Filipinas";"Філіппіни";"Philippines";"Fülöp-szigetek";"필리핀";"Філіпіны";"Philippines";"菲\t律\t賓";"Philippines";"Philippines";;
"country_czech";"Czech Republic <color=#cbcbcb>/</color> Česká republika";"République tchèque";"Repubblica Ceca";"Tschechische Republik";"República Checa";"Чехия";"Republika Czeska";"Česko";"Çek Cumhuriyeti";"捷\t克\t共\t和\t国";"チェコ\t共和国";"República Checa";"Чехія";"Czech";"Cseh Köztársaság";"체코";"Чэхія";"Czech";"捷\t克\t共\t和\t國";"Czech";"Cộng hoà Séc";;
"country_gdr";"German Democratic Republic <color=#cbcbcb>/</color> Deutsche Demokratische Republik";"RDA";"GDR";"DDR";"RDA";"ГДР";"NRD";"DDR";"Doğu Almanya";"德\t意\t志\t民\t主\t共\t和\t国";"ドイツ\t民主共和国";"República Democrática Alemã";"НДР";"GDR";"Kelet-Németország";"동독";"НДР";"GDR";"東\t德";"GDR";"GDR";;
"country_north_korea";"Democratic People's Republic of Korea <color=#cbcbcb>/</color> Chosŏn Minjujuŭi Inmin Konghwaguk";"Corée du nord";"Corea del Nord";"Nordkorea";"Corea del Norte";"КНДР";"Korea Północna";"Severní Korea";"Kuzey Kore";"朝\t鲜";"朝鮮民主主義人民共和国";"Coreia do Norte";"Північна Корея";"North Korea";"Észak-Korea";"북한";"Паўночная Карэя";"North Korea";"北\t韓";"North Korea";"Bắc Triều tiên";;
"country_bangladesh";"People's Republic of Bangladesh <color=#cbcbcb>/</color> Gôṇoprojātôntrī Bāṅglādesh";"Bangladesh";"Bangladesh";"Bangladesch";"Bangladés";"Бангладеш";"Bangladesz";"Bangladéš";"Bangladeş";"孟\t加\t拉\t国";"バングラデシュ";"Bangladesh";"Бангладеш";"Bangladesh";"Banglades";"방글라데시";"Бангладэш";"Bangladesh";"孟\t加\t拉";"Bangladesh";"Bangladesh";;
"country_republic_china";"Republic of China <color=#cbcbcb>/</color> Zhōnghuá Mínguó";"République de Chine";"Repubblica Cinese";"Republik China";"República de China";"Китайская Республика";"Republika Chińska";"Republika Čína";"Çin Cumhuriyeti";"中\t国";"中華民国";"República da China";"Китайська Республіка";"Republic China";"Kínai Köztársaság";"중화민국";"Кітайская Рэспубліка";"Republic China";"中\t華\t民\t國";"Republic China";"Trung Hoa Dân Quốc";;
"country_pakistan";"Islamic Republic of Pakistan <color=#cbcbcb>/</color> Islāmī Jumhūriyah Pākistān";"Pakistan";"Pakistan";"Pakistan";"Pakistán";"Пакистан";"Pakistan";"Pákistán";"Pakistan";"巴\t基\t斯\t坦";"パキスタン";"Paquistão";"Пакистан";"Pakistan";"Pakisztán";"파키스탄";"Пакістан";"Pakistan";"巴\t基\t斯\t坦";"Pakistan";"Pakistan";;
"country_ireland";"Ireland <color=#cbcbcb>/</color> Éire";"Irlande";"Irlanda";"Irland";"Irlanda";"Ирландия";"Irlandia";"Irsko";"İrlanda";"爱\t尔\t兰";"アイルランド";"Irlanda";"Ірландія";"Ireland";"Írország";"아일랜드";"Ірландыя";"Ireland";"愛\t爾\t蘭";"Ireland";"Ireland";;
"country_slovakia";"Slovak Republic <color=#cbcbcb>/</color> Slovenská republika";"Slovaquie";"Slovacchia";"Slowakei";"Eslovaquia";"Словакия";"Słowacja";"Slovensko";"Slovakya";"斯\t洛\t伐\t克";"スロバキア";"Eslováquia";"Словаччина";"Slovakia";"Szlovákia";"슬로바키아";"Славакія";"Slovakia";"斯\t洛\t伐\t克";"Slovakia";"Slovakia";;
"country_saudi_arabia";"Kingdom of Saudi Arabia <color=#cbcbcb>/</color> al-Mamlaka al-'Arabiyya as-Su'ūdiyya";"Arabie saoudite";"Arabia Saudita";"Saudi-Arabien";"Arabia Saudí";"Саудовская Аравия";"Arabia Saudyjska";"Saúdská Arábie";"Suudi Arabistan";"沙\t特\t阿\t拉\t伯";"サウジアラビア";"Arábia Saudita";"Саудівська Аравія";"Saudi Arabia";"Szaúd-Arábia";"사우디아라비아";"Саудаўская Аравія";"Saudi Arabia";"沙\t烏\t地\t阿\t拉\t伯";"Saudi Arabia";"Ả Rập Saudi";;
"country_spain";"Kingdom of Spain <color=#cbcbcb>/</color> Reino de España";"Espagne";"Spagna";"Spanien";"España";"Испания";"Hiszpania";"Španělsko";"İspanya";"西\t班\t牙";"スペイン";"Espanha";"Іспанія";"Spain";"Spanyolország";"스페인";"Іспанія";"Spain";"西\t班\t牙";"Spain";"Tây Ban Nha";;
"country_jordan";"Hashmentie Kingdom of Jordan <color=#cbcbcb>/</color> Al-Mamlaka al-Urduniyya al-Hāshimiyya";"Jordanie";"Giordania";"Jordanien";"Jordania";"Иордания";"Jordania";"Jordán";"Ürdün";"约\t旦";"ヨルダン";"Jordânia";"Йорданія";"Jordan";"Jordánia";"요르단";"Іарданія";"Jordan";"約\t旦";"Jordan";"Jordan";;
"country_britain_empire_navy";"United Kingdom of Great Britain and Northern Ireland";"Empire britannique";"Impero Britannico";"British Empire";"Imperio Británico";"Британская империя";"Imperium Brytyjskie";"Britské impérium";"Britanya İmparatorluğu";"大\t不\t列\t颠\t帝\t国";"大英帝国";"Império Britânico";"Британська імперія";"British Empire";"Brit Birodalom";"대영제국";"Брытанская імперыя";"British Empire";"大\t英\t帝\t國";"British Empire";"Đế chế Anh Quốc";;
"country_pkg6";"Ponyland";"Ponyland";"Ponilandia";"Ponyland";"Ponilandia";"Пониланд";"Kucykolandia";"Říše poníků";"Ponyland";"小\t马\t国";"ポニーランド";"Ponyland";"Поніленд";"Zemlja Ponija";"Póniország";"포니랜드";"Поніландыя";"Țara poneilor";"小\t馬\t國";"小\t马\t国";"Ponyland";;
"country_switzerland";"Swiss Confederation <color=#cbcbcb>/</color> Schweizerische Eidgenossenschaft";"Suisse";"Svizzera";"Schweiz";"Suiza";"Швейцария";"Szwajcaria";"Švýcarsko";"İsviçre";"瑞\t士";"スイス";"Suíça";"Швейцарія";"Switzerland";"Svájc";"스위스";"Швейцарыя";"Switzerland";"瑞\t士";"Switzerland";"Thuỵ Sỹ";;
"country_india";"Republic of India <color=#cbcbcb>/</color> Bhārat Gaṇarājya";"Inde";"India";"Indien";"India";"Индия";"Indie";"Indie";"Hindistan";"印\t度";"インド";"Índia";"Індія";"India";"India";"인도";"Індыя";"India";"印\t度";"India";"Ấn Độ";;
"country_kazakhstan";"Republic of Kazakhstan <color=#cbcbcb>/</color> Qazaqstan Respublikasy";"Kazakhstan";"Kazakhstan";"Kasachstan";"Kazajistán";"Казахстан";"Kazachstan";"Kazachstán";"Kazakistan";"哈\t萨\t克\t斯\t坦";"カザフスタン";"Cazaquistão";"Казахстан";"Kazakhstan";"Kazahsztán";"카자흐스탄";"Казахстан";"Kazakhstan";"哈\t薩\t克\t斯\t坦";"Kazakhstan";"Kazakhstan";;
"country_lithuania";"Republic of Lithuania <color=#cbcbcb>/</color> Lietuvos Respublika";"Lituanie";"Lituania";"Litauen";"Lituania";"Литва";"Litwa";"Litva";"Litvanya";"立\t陶\t宛";"リトアニア";"Lituânia";"Литва";"Lithuania";"Lithuania";"리투아니아";"Літва";"Lithuania";"立\t陶\t宛";"Lithuania";"Lithuania";;
"country_oman";"Sultanate of Oman";"Oman";"Oman";"Oman";"Omán";"Оман";"Oman";"Omán";"Umman";"阿\t曼";"オマーン";"Omã";"Оман";"Oman";"Oman";"오만";"Оман";"Oman";"阿\t曼";"Oman";"Oman";;
"country_denmark";"Kingdom of Denmark <color=#cbcbcb>/</color> Kongeriget Danmark";"Danemark";"Danimarca";"Dänemark";"Dinamarca";"Дания";"Dania";"Dánsko";"Danimarka";"丹\t麦";"デンマーク";"Dinamarca";"Данія";"Denmark";"Denmark";"덴마크";"Дания";"Denmark";"丹\t麥";"Denmark";"Denmark";;
"country_kuwait";"State of Kuwait <color=#cbcbcb>/</color> Dawlat al-Kuwayt";"Koweït";"Kuwait";"Kuwait";"Kuwait";"Кувейт";"Kuwejt";"Kuvajt";"Kuveyt";"科\t威\t特";"クウェート";"Kuwait";"Кувейт";"Kuwait";"Kuwait";"쿠웨이트";"Кувейт";"Kuwait";"科\t威\t特";"Kuwait";"Kuwait";;
"country_egypt";"Arab Republic of Egypt <color=#cbcbcb>/</color> Jumhūrīyat Miṣr al-'Arabīyah";"Égypte";"Egitto";"Ägypten";"Egipto";"Египет";"Egipt";"Egypt";"Mısır";"埃\t及";"エジプト";"Egipto";"Єгипет";"Egipat";"Egyiptom";"이집트";"Егіпет";"Egypt";"埃\t及";"  ";"Ai Cập";;
"country_israel";"State of Israel";"Israël";"Israele";"Israel";"Israel";"Израиль";"Izrael";"Izrael";"İsrail";"以\t色\t列";"イスラエル";"Israel";"Ізраїль";"Izrael";"Izrael";"이스라엘";"Ізраіль";"Israel";"以\t色\t列";"  ";"Israel";;
"country_israel/short";"Israel";"IL";"IL";"IL";"IL";"IL";"ISR";"IL";"IL";"以";"イスラエル";"IS";"IL";"IL";"IL";"이스라엘";"IL";"IL";"以";"Y\t系";"IL";;
"mainmenu/custom_lang_info";"<color=#c0c0c0>War Tinder's Historical Localization Mod - 1.08.61</color>";"Localisation personnalisée activée";"Traduzione personalizzata abilitata";"Benutzerdefinierte Lokalisation aktiv";"Localización personalizada activada";"Включена пользовательская локализация";"Włączone niestandardowe tłumaczenie";"Vlastní lokalizace povolena";"Özel yerelleştirme etkinleştirildi";"已\t启\t用\t自\t定\t义\t文\t本";"ローカライゼーションの\tカスタマイズを\t有効にする";"Localização personalizada ativada";"Користувацька локалізація ввімкнена";"Custom localization enabled";"Custom localization enabled";"사용자 설정 번역 사용 중";"Включена пользовательская локализация";"Custom localization enabled";"已\t啟\t用\t自\t定\t義\t文\t本";"Custom localization enabled";"Bản dịch tự chọn được kích hoạt";;
"mainmenu/custom_lang_info/tooltip";"You have installed War Tinder's Historical Localization Mod. Vehicle, weapon, and modification names may appear different.

If you find an error in the mod or a missing piece of text, please create a report in the issues section for the mod's GitHub repository. The GitHub repository can be found here:

https://github.com/Addysaurus/lang_modding";"Vous avez une localisation personnalisée activée. Si certains textes du jeu ne s'affichent pas correctement, contactez l'auteur de la localisation personnalisée (mod) ou désactivez-la.";"Hai una traduzione personalizzata abilitata. Se alcuni testi in gioco vengono visualizzati non correttamente, contatta l'autore della mod o disabilitala.";"Du hast eine benutzerdefinierte Lokalisation aktiviert. Falls einige Texte in dem Spiel inkorrekt dargestellt werden, kontaktiere den Autor der installierten benutzerdefinierten Lokalisation (Mod), oder deaktiviere sie.";"Tienes activada la localización personalizada. Si algunos textos del juego se muestran incorrectamente, ponte en contacto con el autor de la localización personalizada instalada (mod) o desactívala.";"У вас включена пользовательская локализация. Если некоторые тексты в игре отображаются некорректно, обратитесь к автору установленной пользовательской локализации (мода) или отключите её.";"Masz aktywowane niestandardowe tłumaczenia. Jeśli niektóre teksty gry są przedstawiane nieprawidłowo, skontaktuj się z twórcą niestandardowego tłumaczenie (modyfikacja) lub ją wyłącz.";"Máte povolenou vlastní lokalizaci. Pokud se některé texty ve hře zobrazují nesprávně, kontaktujte autora nainstalované vlastní lokalizace (mod) nebo ji vypněte.";"Özel yerelleştirmeyi etkinleştirdiniz. Eğer oyundaki bazı metinler düzgün görüntülenmiyorsa, yüklü özel yerelleştirmenin (mod) yapımcısıyla iletişime geçin ya da özel yerelleştirmeyi devre dışı bırakın.";"已\t启\t用\t客\t户\t端\t文\t本\t自\t定\t义\t功\t能。\t如\t游\t戏\t内\t部\t分\t文\t本\t未\t正\t常\t显\t示，\t请\t与\t文\t本\t原\t作\t者\t联\t系\t或\t禁\t用\t自\t定\t义\t文\t本。";"ローカライゼーションの\tカスタマイズを\t有効にしました。\tゲーム\t内\tテキストの\t表示に\t誤りがあった\t場合は、\tカスタムローカライゼーション（mod）\tを\tインストールした\t作成者に\t問い\t合わせるか、\t無効に\t設定してください。";"Você ativou a localização personalizada. Se alguns textos do jogo forem exibidos incorretamente, entre em contacto com o autor da localização personalizada instalada (mod) ou desative-a.";"У вас увімкнено користувацьку локалізацію. Якщо деякі тексти в грі відображаються некоректно, зверніться до автора користувацької локалізації (моду), що встановлено, або вимкніть її.";"You have custom localization enabled. If some texts in the game are displayed incorrectly, contact the author of the installed custom localization (mod) or disable it.";"You have custom localization enabled. If some texts in the game are displayed incorrectly, contact the author of the installed custom localization (mod) or disable it.";"사용자 설정 번역이 적용된 상태입니다. 일부 텍스트가 제대로 표시되지 않을 경우, 제작자에게 연락하거나 비활성화하시기 바랍니다.";"У вас включена пользовательская локализация. Если некоторые тексты в игре отображаются некорректно, обратитесь к автору установленной пользовательской локализации (мода) или отключите её.";"You have custom localization enabled. If some texts in the game are displayed incorrectly, contact the author of the installed custom localization (mod) or disable it.";"已\t啟\t用\t客\t戶\t端\t文\t本\t自\t定\t義\t功\t能。 如\t遊\t戲\t內\t部\t分\t文\t字\t未\t正\t常\t顯\t示，\t請\t與\t文\t本\t原\t作\t者\t聯\t絡\t或\t停\t用\t自\t定\t義\t文\t本。";"You have custom localization enabled. If some texts in the game are displayed incorrectly, contact the author of the installed custom localization (mod) or disable it.";"Bạn đã bật tính bản dịch tùy chọn. Nếu một số văn bản trong trò chơi hiển thị không chính xác, hãy liên hệ với tác giả của bản dịch tự chọn (mod) đã cài đặt hoặc tắt nó đi.";;
